活动ID,活动名称,活动类型,活动渠道,目标人群标签,开始日期,结束日期,目标人群等级,预算
CMP0001,拉新活动-0322,拉新活动,小程序,堂食客,2026-03-22,2026-04-03,银卡+,30000
CMP0002,新品上市-0307,新品上市,小程序,全员,2026-03-07,2026-03-11,金卡+,80000
CMP0003,新品上市-0425,新品上市,企微,新客,2026-04-25,2026-05-04,银卡+,30000
CMP0004,拉新活动-0413,拉新活动,外卖平台,高价值,2026-04-13,2026-04-23,全员,5000
CMP0005,新品上市-0424,新品上市,外卖平台,高价值,2026-04-24,2026-05-07,普卡+,30000
CMP0006,复购唤醒-0427,复购唤醒,门店,活跃会员,2026-04-27,2026-05-08,全员,10000
CMP0007,复购唤醒-0407,复购唤醒,外卖平台,堂食客,2026-04-07,2026-04-10,银卡+,30000
CMP0008,新品上市-0308,新品上市,小程序,高价值,2026-03-08,2026-03-20,普卡+,30000
CMP0009,复购唤醒-0303,复购唤醒,小程序,堂食客,2026-03-03,2026-03-15,普卡+,80000
CMP0010,复购唤醒-0403,复购唤醒,小程序,活跃会员,2026-04-03,2026-04-13,普卡+,80000
CMP0011,私域专享-0326,私域专享,企微,活跃会员,2026-03-26,2026-04-05,银卡+,30000
CMP0012,节日活动-0416,节日活动,外卖平台,堂食客,2026-04-16,2026-04-28,普卡+,10000
CMP0013,复购唤醒-0428,复购唤醒,外卖平台,新客,2026-04-28,2026-05-02,全员,30000
CMP0014,拉新活动-0403,拉新活动,企微,活跃会员,2026-04-03,2026-04-16,全员,30000
CMP0015,新品上市-0316,新品上市,外卖平台,活跃会员,2026-03-16,2026-03-28,普卡+,80000
CMP0016,私域专享-0402,私域专享,外卖平台,新客,2026-04-02,2026-04-12,全员,10000
CMP0017,私域专享-0224,私域专享,App,沉睡会员,2026-02-24,2026-03-01,银卡+,300000
CMP0018,私域专享-0429,私域专享,外卖平台,外卖客,2026-04-29,2026-05-08,全员,5000
CMP0019,新品上市-0503,新品上市,App,全员,2026-05-03,2026-05-13,全员,30000
CMP0020,拉新活动-0404,拉新活动,外卖平台,堂食客,2026-04-04,2026-04-15,普卡+,300000
CMP0021,私域专享-0324,私域专享,App,活跃会员,2026-03-24,2026-03-30,金卡+,10000
CMP0022,节日活动-0219,节日活动,App,外卖客,2026-02-19,2026-03-04,金卡+,10000
CMP0023,拉新活动-0313,拉新活动,App,新客,2026-03-13,2026-03-19,银卡+,30000
CMP0024,节日活动-0223,节日活动,小程序,外卖客,2026-02-23,2026-03-08,全员,5000
CMP0025,拉新活动-0418,拉新活动,企微,新客,2026-04-18,2026-04-28,普卡+,80000
CMP0026,拉新活动-0313,拉新活动,企微,活跃会员,2026-03-13,2026-03-24,银卡+,30000
CMP0027,会员日-0305,会员日,外卖平台,高价值,2026-03-05,2026-03-13,银卡+,30000
CMP0028,节日活动-0226,节日活动,门店,新客,2026-02-26,2026-03-04,普卡+,10000
CMP0029,新品上市-0420,新品上市,App,沉睡会员,2026-04-20,2026-05-03,银卡+,5000
CMP0030,复购唤醒-0402,复购唤醒,门店,全员,2026-04-02,2026-04-06,银卡+,5000
CMP0031,会员日-0225,会员日,小程序,堂食客,2026-02-25,2026-03-06,金卡+,30000
CMP0032,节日活动-0327,节日活动,门店,高价值,2026-03-27,2026-04-07,全员,300000
CMP0033,节日活动-0320,节日活动,全渠道,外卖客,2026-03-20,2026-03-24,普卡+,80000
CMP0034,会员日-0429,会员日,App,活跃会员,2026-04-29,2026-05-03,全员,30000
CMP0035,复购唤醒-0302,复购唤醒,App,高价值,2026-03-02,2026-03-06,银卡+,5000
CMP0036,复购唤醒-0309,复购唤醒,门店,高价值,2026-03-09,2026-03-12,金卡+,300000
CMP0037,拉新活动-0428,拉新活动,外卖平台,沉睡会员,2026-04-28,2026-05-09,金卡+,5000
CMP0038,拉新活动-0320,拉新活动,小程序,活跃会员,2026-03-20,2026-03-24,全员,30000
CMP0039,会员日-0422,会员日,企微,高价值,2026-04-22,2026-05-03,全员,5000
CMP0040,私域专享-0415,私域专享,门店,堂食客,2026-04-15,2026-04-21,全员,5000
CMP0041,拉新活动-0317,拉新活动,企微,活跃会员,2026-03-17,2026-03-27,全员,10000
CMP0042,会员日-0409,会员日,小程序,活跃会员,2026-04-09,2026-04-15,普卡+,10000
CMP0043,复购唤醒-0426,复购唤醒,门店,外卖客,2026-04-26,2026-05-02,普卡+,5000
CMP0044,会员日-0423,会员日,全渠道,外卖客,2026-04-23,2026-05-04,普卡+,5000
CMP0045,新品上市-0305,新品上市,外卖平台,活跃会员,2026-03-05,2026-03-15,金卡+,30000
CMP0046,会员日-0316,会员日,App,活跃会员,2026-03-16,2026-03-29,全员,30000
CMP0047,新品上市-0403,新品上市,小程序,高价值,2026-04-03,2026-04-11,全员,30000
CMP0048,私域专享-0406,私域专享,全渠道,堂食客,2026-04-06,2026-04-18,全员,80000
CMP0049,拉新活动-0418,拉新活动,外卖平台,沉睡会员,2026-04-18,2026-05-01,银卡+,10000
CMP0050,新品上市-0226,新品上市,App,全员,2026-02-26,2026-03-07,全员,10000
