会员等级,RFM标签,会员ID
金卡,重要发展客户,237.000000
金卡,重要挽留客户,54.000000
银卡,中间客群,6688.000000
黑卡,重要价值客户,293.000000
金卡,中间客群,2652.000000
黑卡,中间客群,673.000000
普卡,重要挽留客户,172.000000
普卡,中间客群,12340.000000
银卡,重要价值客户,2448.000000
银卡,重要挽留客户,114.000000
普卡,重要价值客户,4618.000000
黑卡,重要发展客户,58.000000
普卡,重要发展客户,1075.000000
金卡,一般挽留客户,1409.000000
银卡,一般发展客户,7432.000000
金卡,一般发展客户,2943.000000
银卡,一般挽留客户,3509.000000
银卡,重要发展客户,606.000000
金卡,重要价值客户,994.000000
普卡,一般发展客户,13443.000000
黑卡,一般发展客户,751.000000
普卡,一般挽留客户,6422.000000
黑卡,一般挽留客户,319.000000
黑卡,重要挽留客户,14.000000
